season,team,played,wins,win_pct
2008,Rajasthan Royals,16,13,81.25
2009,Delhi Daredevils,15,10,66.66666666666667
2010,Mumbai Indians,16,11,68.75
2011,Chennai Super Kings,16,11,68.75
2012,Kolkata Knight Riders,17,12,70.58823529411765
2013,Mumbai Indians,19,13,68.42105263157895
2014,Kings XI Punjab,17,12,70.58823529411765
2015,Mumbai Indians,16,10,62.5
2016,Sunrisers Hyderabad,17,11,64.70588235294117
2017,Mumbai Indians,17,12,70.58823529411765
2018,Chennai Super Kings,16,11,68.75
2019,Mumbai Indians,16,11,68.75
